NO_OF_FRAMES	181
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
44	0.44000	330.432	1016.045	1206.611	232.675	1055.152	1201.752	385.051	1249.095	1247.455	453.651	1244.444	1137.827	504.929	1002.524	1035.644	300.411	1407.414	1097.385	459.040	947.389	720.885	80.689	1378.612	794.196	301.244	868.687	850.915	75.446	1161.620	872.341	140.938	895.751	1482.778	169.244	1062.532	749.835	325.834	597.034	902.564	593.169	1374.457	599.436
45	0.45000	330.566	1016.140	1206.523	232.774	1055.180	1201.548	384.954	1249.229	1247.440	453.702	1244.570	1137.817	505.089	1002.683	1035.569	300.431	1407.603	1097.279	459.644	947.865	720.619	80.962	1379.641	793.638	301.774	868.862	850.374	75.379	1162.410	870.966	143.775	894.204	1480.065	168.207	1063.554	747.589	326.741	597.239	901.713	593.130	1374.431	599.412
46	0.46000	330.705	1016.239	1206.419	232.877	1055.208	1201.344	384.866	1249.355	1247.434	453.745	1244.693	1137.811	505.265	1002.845	1035.480	300.398	1407.818	1097.175	460.219	948.334	720.358	81.189	1380.659	793.146	302.274	869.053	849.836	75.305	1163.175	869.648	146.669	892.676	1477.428	167.280	1064.605	745.433	327.568	597.454	900.803	593.083	1374.393	599.391
47	0.47000	330.843	1016.342	1206.292	232.979	1055.234	1201.133	384.786	1249.469	1247.434	453.781	1244.814	1137.807	505.453	1003.011	1035.375	300.299	1408.073	1097.081	460.780	948.795	720.112	81.373	1381.681	792.739	302.758	869.271	849.314	75.225	1163.920	868.396	149.585	891.184	1474.865	166.521	1065.687	743.364	328.300	597.691	899.848	593.030	1374.345	599.371
48	0.48000	330.978	1016.439	1206.147	233.073	1055.260	1200.915	384.714	1249.566	1247.437	453.811	1244.934	1137.803	505.646	1003.177	1035.252	300.139	1408.364	1097.000	461.334	949.250	719.883	81.522	1382.709	792.427	303.242	869.527	848.825	75.140	1164.650	867.225	152.476	889.745	1472.364	165.927	1066.792	741.362	328.936	597.952	898.869	592.973	1374.293	599.354
49	0.49000	331.102	1016.522	1205.995	233.151	1055.279	1200.699	384.649	1249.645	1247.433	453.839	1245.051	1137.797	505.836	1003.339	1035.111	299.957	1408.663	1096.927	461.884	949.705	719.667	81.644	1383.739	792.214	303.736	869.831	848.392	75.047	1165.374	866.153	155.294	888.375	1469.918	165.451	1067.910	739.403	329.490	598.226	897.887	592.914	1374.239	599.339
50	0.50000	331.212	1016.583	1205.851	233.214	1055.282	1200.496	384.592	1249.705	1247.417	453.869	1245.164	1137.788	506.020	1003.493	1034.958	299.801	1408.931	1096.853	462.428	950.168	719.457	81.747	1384.761	792.094	304.249	870.181	848.039	74.945	1166.094	865.195	158.011	887.077	1467.524	165.027	1069.026	737.482	329.984	598.502	896.929	592.851	1374.186	599.327
51	0.51000	331.305	1016.616	1205.726	233.271	1055.251	1200.319	384.539	1249.751	1247.385	453.905	1245.269	1137.772	506.192	1003.635	1034.807	299.704	1409.143	1096.772	462.962	950.642	719.248	81.831	1385.755	792.040	304.783	870.561	847.769	74.831	1166.812	864.357	160.620	885.841	1465.182	164.594	1070.113	735.620	330.443	598.770	896.016	592.786	1374.137	599.320
52	0.52000	331.382	1016.624	1205.627	233.342	1055.161	1200.174	384.483	1249.788	1247.340	453.946	1245.361	1137.748	506.348	1003.763	1034.673	299.671	1409.297	1096.686	463.486	951.125	719.036	81.896	1386.699	792.017	305.328	870.927	847.550	74.705	1167.518	863.626	163.130	884.645	1462.902	164.109	1071.149	733.856	330.890	599.020	895.160	592.719	1374.091	599.316
53	0.53000	331.449	1016.613	1205.549	233.452	1054.981	1200.059	384.420	1249.820	1247.289	453.993	1245.436	1137.715	506.486	1003.878	1034.565	299.692	1409.410	1096.606	464.000	951.610	718.820	81.933	1387.578	791.993	305.871	871.226	847.326	74.564	1168.192	862.975	165.556	883.467	1460.698	163.559	1072.123	732.231	331.330	599.249	894.360	592.652	1374.047	599.314
